date,total_amount_yuan,eligible_stock_count,positive_amount_stock_count,top50_amount_yuan,top50_stock_count,top50_share,top50_share_pct
2011-08-02,149806708894.0,2137,2137,26800751776.0,50,0.17890221321772468,17.89022132177247
2011-08-03,148652792732.25,2135,2135,28349902336.0,50,0.1907122080582986,19.07122080582986
2011-08-04,136896489567.25,2145,2145,24238459520.0,50,0.17705683759036733,17.705683759036734
2011-08-05,165994044082.75,2126,2126,32116710080.0,50,0.19348109902057353,19.348109902057352
2011-08-08,211551918088.25,2126,2126,44080076640.0,50,0.2083652894208776,20.83652894208776
2011-08-09,195732066288.75,2152,2152,43199931456.0,50,0.22070952539922675,22.070952539922676
2011-08-10,194682411636.3125,2150,2150,40061695968.0,50,0.20577973958345822,20.577973958345822
2011-08-11,191262477467.0,2153,2153,40766928992.0,50,0.21314650699865495,21.314650699865496
2011-08-12,191989899686.125,2137,2137,36681197344.0,50,0.19105795359010194,19.105795359010195
2011-08-15,179464928830.5625,2146,2146,34262742688.0,50,0.19091609102271087,19.091609102271086
2011-08-16,172400459017.5,2149,2149,34291206688.0,50,0.19890438159749432,19.890438159749433
2011-08-17,141560713843.375,2144,2144,26811935264.0,50,0.18940237397831397,18.940237397831396
2011-08-18,148114774391.75,2142,2142,31103999136.0,50,0.20999930131029856,20.999930131029856
2011-08-19,140692389575.375,2144,2144,30591826848.0,50,0.21743768046252876,21.743768046252875
2011-08-22,125860949718.75,2149,2149,26102925152.0,50,0.20739494823716037,20.739494823716036
2011-08-23,127071901065.125,2158,2158,23875533952.0,50,0.18788995640951076,18.788995640951075
2011-08-24,145686444449.0,2156,2156,24853885824.0,50,0.17059847893192645,17.059847893192646
2011-08-25,187734262844.25,2156,2156,40905034048.0,50,0.21788795198208463,21.78879519820846
2011-08-26,158960959648.25,2157,2157,31502431040.0,50,0.19817715689254026,19.817715689254026
2011-08-29,154078431905.875,2162,2162,32021903008.0,50,0.20782858841373636,20.782858841373635
2011-08-30,154973720330.75,2166,2166,30056326848.0,50,0.1939446687080416,19.394466870804163
2011-08-31,123265707488.0,2154,2154,25587740032.0,50,0.2075819832899672,20.75819832899672
2011-09-01,113190181574.0,2167,2167,21931662448.0,50,0.19375940689397872,19.375940689397872
2011-09-02,103984744707.875,2151,2151,20211269840.0,50,0.1943676439921995,19.43676439921995
2011-09-05,104585715481.375,2148,2148,20980355776.0,50,0.20060441026228154,20.060441026228155
2011-09-06,94488277189.25,2143,2143,20597430144.0,50,0.2179892655122236,21.798926551222362
2011-09-07,115524171327.125,2166,2166,25269355584.0,50,0.21873652322028622,21.873652322028622
2011-09-08,111507741446.75,2145,2145,25768369792.0,50,0.23109041092277494,23.109041092277494
2011-09-09,97668559672.0,2148,2148,22093196432.0,50,0.22620581798477943,22.620581798477943
2011-09-13,93374483183.5,2156,2156,21222056080.0,50,0.22727896697745903,22.7278966977459
2011-09-14,99106145886.5625,2163,2163,22940402688.0,50,0.2314730583334128,23.14730583334128
2011-09-15,103868549668.0,2145,2145,22954565344.0,50,0.2209963017426427,22.09963017426427
2011-09-16,94365094594.625,2139,2139,22308625808.0,50,0.23640760287300863,23.640760287300864
2011-09-19,90260624773.25,2167,2167,20138173392.0,50,0.22311138929727672,22.311138929727672
2011-09-20,88612862621.75,2175,2175,21361011744.0,50,0.24105994448211118,24.105994448211117
2011-09-21,157277084485.5,2189,2189,34139711776.0,50,0.2170672980598612,21.706729805986118
2011-09-22,136439058496.375,2180,2180,30459794176.0,50,0.2232483462703554,22.32483462703554
2011-09-23,121134509796.125,2181,2181,28887206112.0,50,0.23847214274956416,23.847214274956414
2011-09-26,104136378859.0,2170,2170,26754414016.0,50,0.2569170765215997,25.691707652159966
2011-09-27,102658880164.375,2181,2181,23285699872.0,50,0.2268259680479222,22.682596804792222
2011-09-28,102300312327.625,2186,2186,22238857312.0,50,0.2173879708282636,21.738797082826363
2011-09-29,103755741314.625,2173,2173,21274362272.0,50,0.20504274753807045,20.504274753807046
2011-09-30,81220966976.3125,2175,2175,18515503520.0,50,0.227964578720171,22.7964578720171
