date,all_a_close,hs300_close,zz1000_close
2026-07-20,5638.62,4598.32,6965.38
2026-07-21,5833.73,4739.23,7259.86
2026-07-22,5790.76,4717.24,7158.76
2026-07-23,5816.08,4728.0,7195.5
2026-07-24,5687.26,4649.19,6995.69
2026-07-27,5807.8,4702.43,7228.78
2026-07-28,5648.71,4569.52,7026.28
2026-07-29,5692.34,4600.26,7095.19
2026-07-30,5581.37,4549.72,6900.66
2026-07-31,5681.24,4588.2,7075.51
2026-08-03,5652.57,4543.18,7079.78
2026-08-04,5766.33,4600.93,7279.19
2026-08-05,5881.85,4658.15,7493.05
2026-08-06,5896.36,4651.31,7530.43
2026-08-07,5978.3,4694.44,7679.53
2026-08-10,6009.53,4702.02,7733.9
2026-08-11,5966.59,4663.79,7698.05
2026-08-12,6024.05,4690.92,7793.72
