date,all_a_close,hs300_close,zz1000_close
2011-08-02,3457.89,2956.38,4971.39
2011-08-03,3462.98,2954.87,4995.0
2011-08-04,3473.52,2960.31,5016.52
2011-08-05,3400.43,2897.42,4896.38
2011-08-08,3257.11,2793.9,4627.1
2011-08-09,3256.3,2798.19,4619.64
2011-08-10,3294.26,2824.12,4693.61
2011-08-11,3348.17,2866.92,4780.69
2011-08-12,3370.21,2875.37,4838.92
2011-08-15,3419.89,2917.88,4918.89
2011-08-16,3395.64,2897.58,4888.68
2011-08-17,3384.14,2886.01,4881.84
2011-08-18,3323.58,2834.25,4789.21
2011-08-19,3292.86,2807.66,4742.32
2011-08-22,3263.78,2777.79,4715.7
2011-08-23,3316.38,2821.0,4799.18
2011-08-24,3307.9,2810.02,4797.8
2011-08-25,3397.27,2903.84,4879.62
2011-08-26,3400.35,2901.22,4905.07
2011-08-29,3356.71,2852.81,4876.72
2011-08-30,3336.01,2841.74,4824.92
2011-08-31,3331.98,2846.78,4798.73
2011-09-01,3313.78,2834.54,4771.88
2011-09-02,3276.96,2803.85,4716.88
2011-09-05,3203.01,2743.82,4596.13
2011-09-06,3179.7,2723.3,4568.59
2011-09-07,3249.36,2779.09,4684.1
2011-09-08,3219.83,2756.11,4635.03
2011-09-09,3208.34,2751.1,4609.58
2011-09-13,3165.22,2720.28,4532.08
2011-09-14,3189.48,2733.11,4589.69
2011-09-15,3188.57,2729.05,4598.45
2011-09-16,3192.08,2733.99,4598.81
2011-09-19,3129.02,2679.27,4507.68
2011-09-20,3143.22,2689.85,4537.53
2011-09-21,3236.14,2771.01,4666.07
2011-09-22,3139.47,2685.69,4529.96
2011-09-23,3117.81,2669.48,4494.48
2011-09-26,3057.86,2610.92,4426.4
2011-09-27,3080.89,2637.88,4441.81
2011-09-28,3039.79,2610.59,4358.34
2011-09-29,2981.47,2588.19,4189.11
2011-09-30,2972.77,2581.35,4174.45
2011-10-10,2950.19,2557.08,4159.45
2011-10-11,2943.77,2551.99,4152.72
2011-10-12,3049.38,2644.76,4302.1
2011-10-13,3079.31,2662.6,4370.72
2011-10-14,3067.6,2653.78,4350.42
2011-10-17,3080.96,2666.95,4368.77
2011-10-18,2992.03,2592.21,4230.95
2011-10-19,2979.86,2583.08,4216.67
2011-10-20,2901.72,2520.53,4088.08
2011-10-21,2871.39,2507.88,4008.55
2011-10-24,2938.16,2576.67,4071.46
2011-10-25,3003.89,2625.43,4185.19
2011-10-26,3033.2,2651.65,4217.89
2011-10-27,3038.43,2657.48,4216.23
2011-10-28,3100.59,2709.02,4306.4
2011-10-31,3100.44,2695.31,4350.13
2011-11-01,3102.53,2697.53,4355.0
2011-11-02,3155.78,2742.39,4432.33
2011-11-03,3164.57,2744.3,4458.45
2011-11-04,3187.57,2763.75,4491.17
2011-11-07,3164.37,2736.25,4474.75
2011-11-08,3142.49,2727.71,4420.98
2011-11-09,3180.28,2751.65,4501.26
2011-11-10,3127.82,2699.59,4441.79
2011-11-11,3124.66,2695.0,4441.94
2011-11-14,3193.56,2750.2,4553.24
2011-11-15,3199.47,2744.68,4587.39
2011-11-16,3115.88,2670.12,4474.27
2011-11-17,3109.42,2662.02,4474.34
2011-11-18,3033.94,2606.5,4333.89
2011-11-21,3037.41,2609.69,4347.0
2011-11-22,3035.62,2609.48,4341.69
2011-11-23,3013.38,2584.01,4318.12
2011-11-24,3014.87,2588.92,4311.28
2011-11-25,2993.84,2569.97,4280.95
2011-11-28,2997.06,2573.32,4283.1
2011-11-29,3041.41,2608.57,4358.57
2011-11-30,2929.29,2521.52,4164.12
2011-12-01,2995.85,2583.61,4254.09
2011-12-02,2951.96,2557.31,4164.81
2011-12-05,2887.6,2521.39,4021.21
2011-12-06,2884.76,2516.34,4022.73
2011-12-07,2896.42,2528.23,4035.03
2011-12-08,2894.19,2525.0,4034.05
2011-12-09,2868.24,2503.46,3991.45
2011-12-12,2836.17,2477.69,3939.27
2011-12-13,2757.9,2421.93,3789.03
2011-12-14,2720.68,2397.48,3705.48
2011-12-15,2654.35,2340.79,3598.94
2011-12-16,2718.43,2390.13,3705.58
2011-12-19,2717.11,2384.41,3715.7
2011-12-20,2708.55,2377.07,3701.62
2011-12-21,2656.21,2339.11,3602.6
2011-12-22,2641.15,2341.34,3535.24
2011-12-23,2662.01,2359.16,3561.98
2011-12-26,2639.32,2335.7,3536.29
2011-12-27,2589.55,2305.04,3422.98
2011-12-28,2584.89,2307.93,3393.37
2011-12-29,2587.59,2311.36,3394.85
2011-12-30,2629.35,2345.74,3456.29
2012-01-04,2571.95,2298.75,3362.83
2012-01-05,2513.7,2276.39,3205.4
2012-01-06,2527.25,2290.6,3224.5
2012-01-09,2619.64,2368.57,3365.9
2012-01-10,2713.53,2447.35,3503.24
